Unnamed: 0.1,Unnamed: 0,Judet,Potential
0,0,Municipiul Bucuresti,69.39
1,1,Cluj,52.45
2,2,Constanta,51.38
3,3,Bacau,50.83
4,4,Brasov,48.71
5,5,Prahova,48.64
6,6,Maramures,48.04
7,7,Timis,47.82
8,8,Caras-Severin,46.99
9,9,Gorj,46.74
10,10,Sibiu,46.53
11,11,Arad,46.26
12,12,Mures,45.89
13,13,Iasi,45.81
14,14,Ilfov,45.57
15,15,Bihor,45.34
16,16,Braila,44.32
17,17,Dambovita,43.92
18,18,Galati,43.56
19,19,Alba,43.52
20,20,Hunedoara,43.03
21,21,Ialomita,42.48
22,22,Arges,41.20
23,23,Harghita,41.20
24,24,Olt,40.66
25,25,Vrancea,40.19
26,26,Dolj,39.93
27,27,Buzau,39.73
28,28,Valcea,39.13
29,29,Neamt,38.77
30,30,Suceava,38.67
31,31,Covasna,38.47
32,32,Satu Mare,38.38
33,33,Botosani,38.38
34,34,Bistrita-Nasaud,38.27
35,35,Salaj,37.53
36,36,Tulcea,37.38
37,37,Mehedinti,37.35
38,38,Calarasi,35.97
39,39,Giurgiu,35.11
40,40,Teleorman,33.28
41,41,Vaslui,33.15
